entry_time,entry_price,entry_dir,entry_reason,exit_time,exit_price,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl,points,pnl,exit_reason,cost_points,cost_cash
2023-10-06 15:30:00,16531.0,LONG,15:15訊號進場,2023-10-13 15:30:00,16779.0,248.0,2.0,4.0,244.0,48800.0,244.0,48800.0,15:15訊號翻正_平倉,4.0,800.0
2023-11-02 15:30:00,16386.0,LONG,15:15訊號進場,2023-11-15 13:15:00,17122.0,736.0,2.0,4.0,732.0,146400.0,732.0,146400.0,結算日13:15平倉,4.0,800.0
2023-11-15 15:30:00,17178.0,LONG,15:15訊號進場,2023-11-22 15:30:00,17239.0,61.0,2.0,4.0,57.0,11400.0,57.0,11400.0,15:15訊號翻正_平倉,4.0,800.0
2023-11-23 15:30:00,17352.0,LONG,15:15訊號進場,2023-11-27 15:30:00,17187.0,-165.0,2.0,4.0,-169.0,-33800.0,-169.0,-33800.0,15:15訊號翻正_平倉,4.0,800.0
2023-11-28 15:30:00,17346.0,LONG,15:15訊號進場,2023-12-04 15:30:00,17393.0,47.0,2.0,4.0,43.0,8600.0,43.0,8600.0,15:15訊號翻正_平倉,4.0,800.0
2023-12-14 15:30:00,17648.0,LONG,15:15訊號進場,2023-12-18 15:30:00,17641.0,-7.0,2.0,4.0,-11.0,-2200.0,-11.0,-2200.0,15:15訊號翻正_平倉,4.0,800.0
2023-12-20 15:30:00,17665.0,LONG,15:15訊號進場,2023-12-21 15:30:00,17522.0,-143.0,2.0,4.0,-147.0,-29400.0,-147.0,-29400.0,15:15訊號翻正_平倉,4.0,800.0
2023-12-26 15:30:00,17729.0,LONG,15:15訊號進場,2024-01-02 15:30:00,17808.0,79.0,2.0,4.0,75.0,15000.0,75.0,15000.0,15:15訊號翻正_平倉,4.0,800.0
2024-01-19 15:30:00,17707.0,LONG,15:15訊號進場,2024-02-21 13:15:00,18671.0,964.0,2.0,4.0,960.0,192000.0,960.0,192000.0,結算日13:15平倉,4.0,800.0
2024-02-22 15:30:00,18902.0,LONG,15:15訊號進場,2024-02-23 15:30:00,18916.0,14.0,2.0,4.0,10.0,2000.0,10.0,2000.0,15:15訊號翻正_平倉,4.0,800.0
2024-02-26 15:30:00,18972.0,LONG,15:15訊號進場,2024-02-27 15:30:00,18903.0,-69.0,2.0,4.0,-73.0,-14600.0,-73.0,-14600.0,15:15訊號翻正_平倉,4.0,800.0
2024-02-29 15:30:00,18953.0,LONG,15:15訊號進場,2024-03-15 15:30:00,19745.0,792.0,2.0,4.0,788.0,157600.0,788.0,157600.0,15:15訊號翻正_平倉,4.0,800.0
